任务点,新的定价,任务点,新的定价,任务点,新的定价,任务点,新的定价,任务点,新的定价,任务点,新的定价,任务点,新的定价,任务点,新的定价
1,66.4472423,108,64.54038533,215,66.6240292,322,67.85614668,434,69.24787806,536,68.3205598,643,72.965608,750,71.14038787
2,65.749875,109,65.66618415,216,68.8807894,323,66.97831707,435,68.83668903,537,72.08658196,644,70.36505339,751,69.99439423
3,66.19550578,110,65.57211874,217,69.32593174,324,67.12970093,436,69.26570736,538,69.85589958,645,70.02550435,752,68.30131133
4,67.87307611,111,64.80866745,218,66.61336179,325,67.64354423,437,69.30761035,539,74.01123018,646,69.99345793,753,69.38771816
5,66.16389137,112,65.53536367,219,69.33951327,326,67.50502005,438,69.32607363,540,73.15367663,647,70.15459174,754,69.34001479
6,67.87384106,113,66.68022615,220,68.95111874,327,67.35760138,439,66.60071907,541,74.09202293,648,73.18867853,755,70.768522
7,66.39901645,114,64.94466668,221,69.24394859,328,67.31715979,414,67.77959447,542,73.88354533,649,70.18077161,756,67.36397601
8,66.21657113,115,64.15170418,222,69.85132593,329,67.32025112,415,67.29271676,543,74.23003451,650,70.25146764,757,73.03903949
9,65.65057096,116,66.93575477,223,69.33666683,330,67.69632103,416,67.30765467,544,73.94357165,651,73.18141138,758,68.87486176
10,65.90249928,117,66.70266042,224,68.96231746,331,66.94200163,417,73.01017885,545,73.79329849,652,70.16701879,759,72.94672274
11,66.01516134,118,65.11230419,225,68.81363276,332,67.46658,418,67.33013348,546,73.50501255,653,72.55004007,760,70.22551481
12,66.08075676,119,65.69809491,226,69.23837526,333,67.00480011,440,67.40795486,547,73.2025601,654,72.50095252,761,69.0188892
13,66.45498173,120,65.52198305,227,69.11193069,334,68.56046824,441,67.46825364,548,71.84882212,655,72.07219832,762,68.20752221
14,66.05637054,121,67.54532697,228,68.97199148,335,66.75825732,442,67.63906099,549,73.03245676,656,71.97759171,763,69.75498
15,66.12438753,122,65.39879776,229,69.02041304,336,67.39279449,443,66.54284533,550,73.89663178,657,71.92592674,764,70.65716472
16,65.90530176,123,65.63030978,230,66.34067837,337,66.95343382,444,67.27531203,551,71.98859563,658,71.84901382,765,68.89255288
17,65.94720812,124,65.85156124,231,68.81892434,338,67.31922616,445,65.82371795,552,72.83088637,659,72.50544619,766,70.81059921
18,65.68841579,125,64.45954274,232,69.12353667,339,67.31510929,446,67.3999657,553,72.30515245,660,72.50544619,767,68.73058004
19,66.43070376,126,71.36723726,233,69.01309191,340,68.56046824,447,67.03950555,554,72.74063218,661,72.49434043,768,69.01946362
20,66.1368761,127,67.84459783,234,68.93470202,341,67.5110014,448,66.9363001,555,72.31022429,662,72.1817506,769,69.16586218
21,66.03101325,128,67.27612747,235,69.0186341,342,67.58286238,449,68.6494059,556,73.8894802,663,72.16963112,770,72.25756789
22,66.08485257,129,68.28164187,236,68.96870256,343,66.72146835,450,66.79563654,557,72.17585295,664,72.49962471,771,68.99940618
23,66.15403686,130,67.15049406,237,66.31739095,344,67.3181345,451,64.26276958,558,73.15180296,665,72.0957345,772,72.29987806
24,66.8285009,131,67.93080813,238,69.04061093,345,67.34932299,452,64.99001643,559,72.09759382,666,72.42044305,773,71.70863359
25,66.64981149,132,67.6489737,239,66.78362457,346,67.25482371,453,64.43675729,560,73.01679307,667,72.1529064,774,72.67732459
26,66.12923111,133,70.78187051,240,68.96231746,347,67.68276888,454,63.70448022,561,72.8406599,668,71.98068156,775,72.10898519
27,65.88295063,134,67.82153006,241,66.83013409,348,67.61706089,455,66.61879136,562,72.53421475,669,71.89418187,776,72.99186096
28,66.12793194,135,67.45514011,242,69.10098771,349,67.09692177,456,69.32800016,563,72.76845057,670,72.17627589,777,73.07540482
29,66.46101446,136,68.39703033,243,66.41933952,350,67.67812018,457,65.3976052,564,72.58347555,671,72.54880439,778,71.47982028
30,67.5283157,137,67.21439713,244,66.49591911,351,66.74352271,458,69.69427703,565,72.92926505,672,72.10487241,779,69.15773586
31,67.50167826,138,68.01590161,245,69.12642603,352,66.85449776,459,67.1467696,566,71.84882212,673,71.98165531,780,70.36045902
32,66.1535749,139,69.5177264,246,67.01654115,353,66.77353367,460,67.50966352,567,72.06561642,674,71.84882212,781,68.82835375
33,66.24113244,140,69.84409138,247,66.5502251,354,66.9565566,461,66.1535749,568,73.25214803,675,72.07107476,782,73.33917455
34,67.48909945,141,68.82588231,248,66.63844429,355,65.89792617,462,66.57330521,569,72.106968,676,73.03848355,783,72.378044
35,67.49109655,142,67.77944501,249,67.01961422,356,65.0002046,463,67.10647374,570,73.27917154,677,66.33667806,784,69.05552502
36,66.06305257,143,67.3386429,250,66.56054721,357,66.32762051,464,67.36975471,571,71.90938192,678,72.23511791,785,72.60551299
37,66.44500011,144,67.63456066,251,66.88012457,358,67.3878511,465,67.49622895,572,72.1291098,679,72.76055889,786,69.36356843
38,68.27606228,145,67.03650092,252,66.85857885,359,66.20311402,466,65.57491824,573,73.787516,680,72.11051852,787,72.96154299
39,66.78536058,146,67.88193285,253,66.70578648,360,64.46692314,467,67.16326684,574,72.46797827,681,72.10477118,788,72.13345724
40,67.33891178,147,67.33991335,254,66.40289269,361,66.5307419,468,67.0281197,575,72.33453955,682,72.10487241,789,73.62461527
41,66.92874095,148,68.28713876,255,66.68358156,362,67.14623102,469,70.46099802,576,71.94674733,683,72.08393522,790,72.40958478
42,67.65563943,149,68.28732558,256,66.80209611,363,65.8046021,470,66.62594312,577,73.28404344,684,69.09753258,791,72.21855693
43,67.48510435,150,68.87878043,257,66.72220166,364,67.31161813,471,66.82039246,578,68.78027963,685,67.8248104,792,72.24325692
44,67.42422948,151,68.82588231,258,66.52684306,365,68.12361543,472,66.81695859,579,72.33453955,686,70.80340765,793,73.6245983
45,66.64197219,152,68.65769257,259,67.17454147,366,68.91897008,473,67.84112955,580,72.87006982,687,73.65055271,794,73.35147173
46,64.93490959,153,67.77527978,260,66.74996709,367,67.87861544,474,66.964938,581,71.99213592,688,69.23842743,795,72.48586565
47,67.53404978,154,69.5773177,261,66.22541043,368,66.87043258,475,67.16238359,582,71.95643662,689,73.61719477,796,72.29617096
48,67.26706504,155,68.82588231,262,66.75048366,369,66.63114917,476,67.84831684,583,72.50095252,690,73.03848355,797,73.07359361
49,67.53401979,156,68.69762924,263,66.83627116,370,68.91490312,477,67.10619096,584,72.69244548,691,72.78799954,798,72.7745094
50,67.89530878,157,69.42101092,264,66.67325344,371,67.60360348,478,67.16637306,585,71.88566121,692,72.13246686,799,72.39969814
51,66.95519245,158,66.22541043,265,66.4011086,372,68.36489867,479,66.36078266,586,74.45266974,693,71.83146996,800,72.44308073
52,66.9165452,159,66.51428835,266,67.73527589,373,71.01414722,480,67.18067513,587,72.01844648,694,68.7495646,801,70.9635086
53,67.81628972,160,67.47943444,267,67.44660764,374,66.9768656,481,72.01948475,588,72.0850717,695,71.83105187,802,70.83270382
54,66.75698063,161,69.57263853,268,67.47943444,375,66.34559056,482,69.52308865,589,73.29192346,696,73.12428197,803,70.36251912
55,67.65251399,162,69.23702277,269,67.2462917,376,66.37532778,483,72.06383095,590,72.00171426,697,69.71577743,804,72.60770477
56,67.51460608,163,67.51242257,270,67.76823283,377,66.64826296,484,72.02047394,591,72.20192745,698,72.21896807,805,70.51411002
57,65.60477709,164,67.77959447,271,68.16923452,378,66.63228695,485,69.45223264,592,72.19300432,699,68.21073572,806,69.32553762
58,67.21184531,165,67.29657816,272,66.6990648,379,67.81548348,486,73.54347282,593,72.71914113,700,68.31823143,807,73.12668057
59,66.98310643,166,68.56046824,273,67.68164069,380,66.75427355,487,73.25361294,594,72.28005405,701,73.19027317,808,72.48586565
60,66.96211039,167,67.5187583,274,66.35423374,381,66.85316892,488,69.50006086,595,72.35780613,702,72.76926026,809,72.17493311
61,66.95138531,168,69.53576597,275,66.909021,382,67.58320097,489,72.05822533,596,72.11728382,703,72.17578301,810,72.18937394
62,67.45187561,169,70.22763678,276,67.30168832,383,70.14414514,490,70.62730963,597,72.12923276,704,70.81212925,811,72.19649563
63,68.27606228,170,68.08420659,277,66.71298145,384,70.74852841,491,68.012172,598,72.24739829,705,73.0460585,812,72.20395257
64,67.47167453,171,66.21587749,278,67.47943444,385,67.01818743,492,72.94281078,599,72.31230149,706,70.31922445,813,72.36775303
65,67.57578453,172,67.29657816,279,66.38276225,386,66.92768691,493,69.70608702,600,72.30741367,707,68.33533085,814,72.43526586
66,67.53284208,173,67.72783078,280,67.53032495,387,69.57348694,494,68.29892508,601,72.05422916,708,68.60086535,815,72.17029203
67,66.60832831,174,67.86029121,281,67.30669221,388,66.82733546,495,68.21757028,602,71.97276124,709,71.72979953,816,72.12828008
68,66.97975578,175,67.11946615,282,66.6174384,389,69.10978892,496,68.66231663,603,72.24296211,710,72.0394489,817,72.43770959
69,67.54477729,176,67.47089618,283,66.99530825,390,66.82845402,497,68.66643091,604,71.97628606,711,69.05963559,818,72.18236798
70,64.07821798,177,64.95836098,284,66.79249096,391,66.55980282,498,73.08845512,605,72.14904576,712,68.40730569,819,72.18117355
71,67.73974427,178,70.10674252,285,66.83008725,392,69.1870723,499,70.2464909,606,72.32757743,713,68.57137231,820,72.26285518
72,67.0640551,179,66.41366504,286,66.85129717,393,66.31196272,500,69.23303404,607,72.03813115,714,71.46322921,821,72.21788434
73,67.5632222,180,66.64909415,287,67.26083084,394,69.32800154,501,73.14792226,608,72.09209708,715,73.33732561,822,72.15552324
74,67.27692322,181,66.77140414,288,66.74950709,395,66.49671979,502,73.16402501,609,72.27095998,716,68.81783525,823,71.95983995
75,67.38239833,182,67.99873814,289,66.79996447,396,69.60256154,503,68.56850879,610,72.02091277,717,73.58079362,824,72.51144954
76,65.80674357,183,67.45514011,290,66.16293701,397,68.89490396,504,70.06957789,611,68.36613211,718,69.13460002,825,72.22722052
77,67.55610941,184,66.81944899,291,66.79386273,398,69.61508472,505,68.16042733,612,73.08876521,719,72.65084436,826,72.05550628
78,64.07821798,185,66.82733546,292,73.00431431,399,69.02147659,506,67.99499829,613,72.15123698,720,73.30360259,827,69.13810669
79,66.11201085,186,66.85059648,293,67.2844204,400,70.65220269,507,70.52228809,614,71.9621985,721,68.42056117,828,74.12342528
80,66.81607066,187,67.15161041,294,66.99378636,401,66.3356898,508,69.9541107,615,71.94075514,722,67.52944357,829,72.41544746
81,66.34320029,188,67.20370733,295,72.77333372,402,66.44621435,509,73.23411202,616,71.97717402,723,70.81212925,830,72.07009066
82,67.43810531,189,68.19395871,296,70.68728177,403,67.12118432,510,69.82848297,617,68.3044458,724,72.89528363,831,72.18955482
83,66.33351275,190,67.07708797,297,74.21316096,404,68.16923452,511,67.57996188,618,71.84904865,725,72.94783562,832,70.27360856
84,66.55235122,191,67.66813859,298,73.03267396,405,66.819298,512,69.57497306,619,71.44352147,726,71.52571646,833,69.38981065
85,64.19861452,192,67.06120849,299,72.94524156,406,69.28929531,513,72.39295754,620,73.25719181,727,71.32778371,834,72.56843756
86,64.45418858,193,67.72038886,300,72.94510997,407,66.35498372,514,68.34457448,621,69.74514443,728,71.97001106,,
87,64.26117011,194,68.20894571,301,72.97999274,408,68.51137814,515,69.6166414,622,71.5324629,729,72.30113042,,
88,65.20896826,195,67.27749859,302,76.62693849,409,66.87016175,516,70.24130468,623,69.64069557,730,72.02412481,,
89,64.04495176,196,67.60424503,303,72.93983111,410,66.7533177,517,69.27883026,624,73.58412334,731,72.09279683,,
90,66.02342569,197,67.47291028,304,67.5110014,411,66.37760664,518,69.79395149,625,72.76926026,732,71.92440508,,
91,66.83222419,198,68.98467078,305,72.95325948,412,66.78266894,519,69.71712287,626,72.76435193,733,72.50866273,,
92,66.68519807,199,69.78891083,306,73.04947285,413,66.50036314,520,69.34232429,627,70.01775626,734,73.06778179,,
93,64.46692314,200,69.87276071,307,69.34078708,419,67.46255652,521,72.75111208,628,70.39913765,735,72.36953821,,
94,64.13930865,201,66.1949991,308,67.40430361,420,66.44980245,522,66.8591583,629,70.02455356,736,74.22425316,,
95,65.09455273,202,68.87110763,309,68.8096601,421,66.73869488,523,70.01775626,630,68.27494419,737,69.24062407,,
96,66.66585943,203,66.19327946,310,72.88974422,422,66.93266462,524,69.94076279,631,68.81783525,738,72.14216091,,
97,64.44426732,204,69.57703609,311,67.84354285,423,72.9623279,525,68.99968931,632,70.05991048,739,72.1958917,,
98,64.31916419,205,69.57651585,312,67.00854112,424,68.90717629,526,69.91002869,633,67.63920415,740,68.57137231,,
99,64.26117011,206,69.5533608,313,66.97739386,425,71.72186516,527,69.89994633,634,72.99867316,741,70.76829745,,
100,66.82392759,207,70.08826533,314,67.51962341,426,67.83941469,528,70.87466823,635,69.20208069,742,68.3205598,,
101,66.69020184,208,68.97581894,315,67.1697218,427,67.9790965,529,69.22758832,636,72.70451846,743,72.870038,,
102,65.72747308,209,70.09702588,316,67.40827869,428,72.96606484,530,69.60831486,637,69.17040472,744,74.2924029,,
103,66.73186558,210,68.82588231,317,68.01238111,429,67.95457568,531,70.12663815,638,68.55556334,745,69.51265704,,
104,65.46706175,211,66.63659793,318,67.29363366,430,72.96473205,532,68.75875645,639,72.17254524,746,68.57137231,,
105,64.3672065,212,69.23650744,319,67.44762175,431,67.26257915,533,68.83200896,640,73.43587562,747,68.35026599,,
106,67.38002515,213,68.69297538,320,68.56046824,432,67.46658,534,69.68388432,641,72.89528363,748,71.14247935,,
107,65.60701709,214,69.32800016,321,67.66436429,433,67.40061728,535,68.87300057,642,73.61223476,749,71.91344145,,
